BA_to_BA,Hurdle_$/MWh
AZPS_CISO,2.175
AZPS_IID,2.175
AZPS_WALC,2.175
AZPS_LDWP,2.175
AZPS_PACE,0.0
AZPS_TEPC,2.175
AZPS_SRP,2.175
AZPS_PNM,2.175
AZPS_WACM,2.175
AVA_GCPD,2.205
AVA_NWMT,2.205
AVA_BPAT,2.205
AVA_IPCO,2.205
AVA_CHPD,2.205
AVA_PACW,2.205
BANC_TIDC,1.675
BANC_BPAT,1.675
BANC_CISO,1.675
BPAT_GCPD,2.205
BPAT_NWMT,2.205
BPAT_NEVP,0.0
BPAT_PSEI,2.205
BPAT_CISO,2.205
BPAT_LDWP,2.205
BPAT_IPCO,2.205
BPAT_DOPD,2.205
BPAT_TPWR,2.205
BPAT_SCL,2.205
BPAT_BANC,2.205
BPAT_PGE,2.205
BPAT_CHPD,2.205
BPAT_PACW,2.205
BPAT_AVA,2.205
CHPD_DOPD,2.205
CHPD_BPAT,2.205
CHPD_PSEI,2.205
CHPD_AVA,2.205
CISO_NEVP,6.7967
CISO_TIDC,6.7967
CISO_IID,6.7967
CISO_WALC,6.7967
CISO_LDWP,6.7967
CISO_BPAT,6.7967
CISO_SRP,6.7967
CISO_BANC,6.7967
CISO_PACW,6.7967
CISO_AZPS,6.7967
DOPD_CHPD,2.205
DOPD_BPAT,2.205
EPE_PNM,1.663
EPE_TEPC,1.663
GCPD_PACW,2.205
GCPD_BPAT,2.205
GCPD_PSEI,2.205
GCPD_AVA,2.205
IID_WALC,1.91
IID_CISO,1.91
IID_AZPS,1.91
IPCO_NWMT,1.71
IPCO_NEVP,1.71
IPCO_PACE,1.71
IPCO_BPAT,1.71
IPCO_PACW,1.71
IPCO_AVA,1.71
LDWP_NEVP,2.011
LDWP_CISO,2.011
LDWP_WALC,2.011
LDWP_PACE,2.011
LDWP_BPAT,2.011
LDWP_AZPS,2.011
NEVP_CISO,1.665
NEVP_WALC,1.665
NEVP_LDWP,1.665
NEVP_PACE,1.665
NEVP_BPAT,1.665
NEVP_IPCO,1.665
NWMT_WAUW,1.71
NWMT_PACE,0.0
NWMT_BPAT,1.71
NWMT_IPCO,1.71
NWMT_AVA,1.71
PACE_NWMT,1.85
PACE_NEVP,1.85
PACE_LDWP,1.85
PACE_WACM,1.85
PACE_IPCO,1.85
PACE_PACW,1.85
PACE_AZPS,1.85
PACW_GCPD,1.85
PACW_CISO,1.85
PACW_PACE,1.85
PACW_IPCO,1.85
PACW_BPAT,1.85
PACW_PGE,1.85
PACW_AVA,1.85
PGE_PACW,2.205
PGE_BPAT,2.205
PNM_PSCO,3.595
PNM_SRP,3.595
PNM_TEPC,3.595
PNM_EPE,3.595
PNM_WACM,3.595
PNM_AZPS,3.595
PSCO_PNM,2.685
PSCO_WACM,2.685
PSEI_GCPD,2.205
PSEI_BPAT,2.205
PSEI_TPWR,2.205
PSEI_SCL,2.205
PSEI_CHPD,2.205
SCL_BPAT,2.205
SCL_PSEI,2.205
SRP_CISO,2.01
SRP_WALC,2.01
SRP_TEPC,2.01
SRP_PNM,2.01
SRP_AZPS,2.01
TEPC_WALC,1.965
TEPC_SRP,1.965
TEPC_EPE,1.965
TEPC_PNM,1.965
TEPC_AZPS,1.965
TIDC_BANC,6.7967
TIDC_CISO,6.7967
TPWR_BPAT,2.205
TPWR_PSEI,2.205
WACM_WAUW,1.9875
WACM_WALC,1.9875
WACM_PSCO,1.9875
WACM_PACE,1.9875
WACM_PNM,1.9875
WACM_AZPS,1.9875
WALC_NEVP,1.178
WALC_CISO,1.178
WALC_IID,1.178
WALC_LDWP,1.178
WALC_TEPC,1.178
WALC_SRP,1.178
WALC_WACM,1.178
WALC_AZPS,1.178
WAUW_NWMT,1.9875
WAUW_WACM,1.9875
