name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
GLENDALE_NG,ngcc,bus_30369,613.5,24.4372766817,184.05,3,1840.5,42945.0,613.5,4,4
COCHISE_NG,ngcc,bus_30369,660.7,23.33872330638,198.21,3,1982.1000000000001,46249.0,660.7,4,4
CHANDLER_NG,ngcc,bus_30369,1438.1,18.887126424536667,431.43,3,4314.299999999999,100667.0,1438.1,4,4
ARLINGTON_NG,ngcc,bus_30369,3236.5,15.021759696026665,970.95,3,9709.5,226555.0,3236.5,4,4
GOLDENVALLEY_NG,ngcc,bus_30369,121.0,21.55977113864,36.3,3,363.0,8470.0,121.0,4,4
BUCKEYE_NG,ngcc,bus_30369,652.2,0.0,195.66,3,1956.6000000000001,45654.0,652.2,4,4
TUCSON_NG,ngcc,bus_30369,954.3,20.858755885562,286.29,3,2862.8999999999996,66801.0,954.3,4,4
GLOBE_NG,ngcc,bus_30369,1678.0,0.0,503.4,3,5034.0,117460.0,1678.0,4,4
SAINTJOHNS_C,coal,bus_30369,821.8,16.8353878803,246.54,4,2465.3999999999996,57526.0,271.194,12,12
CASAGRANDE_NG,ngcc,bus_30369,646.1,16.385701312896,193.83,3,1938.3000000000002,45227.0,646.1,4,4
LAKEHAVASUCITY_NG,ngcc,bus_30369,655.0,16.3895653002,196.5,3,1965.0,45850.0,655.0,4,4
TEMPE_NG,ngcc,bus_30369,573.7,14.672397883446,172.11,3,1721.1000000000001,40159.0,573.7,4,4
TONOPAH_NG,ngcc,bus_30369,1325.1,0.0,397.53,3,3975.2999999999997,92757.0,1325.1,4,4
GILBERT_NG,ngcc,bus_30369,1326.0,12.773929814081999,397.8,3,3978.0,92820.0,1326.0,4,4
MOHAVEVALLEY_NG,ngcc,bus_30369,708.0,16.048453802685998,212.4,3,2124.0,49560.0,708.0,4,4
SPRINGERVILLE_C,coal,bus_30369,2179.2,14.0472473105,653.7599999999999,4,6537.599999999999,152544.0,719.136,12,12
ORACLE_NG,ngcc,bus_30369,3.1,37.2395,0.93,3,9.3,217.0,3.1,4,4
NOGALES_NG,ngcc,bus_30369,108.0,23.97863084566,32.4,3,324.0,7560.0,108.0,4,4
REDLANDS_NG,ngcc,bus_30369,3.5,17.523943784693,1.05,3,10.5,245.0,3.5,4,4
TRONA_C,coal,bus_30369,62.5,7.31111886215,18.75,4,187.5,4375.0,20.625,12,12
BIGBEARCITY_NG,ngcc,bus_30369,8.4,41.30607247082,2.52,3,25.200000000000003,588.0,8.4,4,4
VICTORVILLE_NG,ngcc,bus_30369,852.0,15.83297892878,255.6,3,2556.0,59640.0,852.0,4,4
SUNCITY_NG,ngcc,bus_30369,819.0,15.676511307717998,245.7,3,2457.0,57330.0,819.0,4,4
RIVERSIDE_NG,ngcc,bus_30369,236.0,25.52594039972,70.8,3,708.0,16520.0,236.0,4,4
BORON_NG,ngcc,bus_30369,220.8,1.904520281158,66.24,3,662.4000000000001,15456.0,220.8,4,4
HINKLEY_NG,ngcc,bus_30369,184.0,3.3731769628239996,55.2,3,552.0,12880.0,184.0,4,4
DESERTHOTSPRINGS_NG,ngcc,bus_30369,800.0,20.636805801101996,240.0,3,2400.0,56000.0,800.0,4,4
TRONA_NG,ngcc,bus_30369,20.0,0.0,6.0,3,60.0,1400.0,20.0,4,4
COLSTRIP_C,coal,bus_30369,2363.4,14.5496466943,709.02,4,7090.200000000001,165438.0,779.922,12,12
HARDIN_C,coal,bus_30369,115.7,21.167146566499998,34.71,4,347.1,8099.0,38.181000000000004,12,12
FARMINGTON_NG,ngcc,bus_30369,67.0,16.567820733083998,20.1,3,201.0,4690.0,67.0,4,4
PREWITT_C,coal,bus_30369,257.0,13.907838983800001,77.1,4,771.0,17990.0,84.81,12,12
FRUITLAND_C,coal,bus_30369,2269.6,13.841941411899999,680.88,4,6808.799999999999,158872.0,748.968,12,12
WATERFLOW_NG,ngcc,bus_30369,292.6,0.0,87.78,3,877.8000000000001,20482.0,292.6,4,4
WATERFLOW_C,coal,bus_30369,1848.0,15.947884246400001,554.4,4,5544.0,129360.0,609.84,12,12
BELEN_NG,ngcc,bus_30369,656.1,24.456467234559998,196.83,3,1968.3000000000002,45927.0,656.1,4,4
LASVEGAS_NG,ngcc,bus_30369,3475.9,15.486670740863,1042.7699999999998,3,10427.7,243313.0,3475.9,4,4
NORTHLASVEGAS_NG,ngcc,bus_30369,358.9,18.894488044985998,107.67,3,1076.6999999999998,25123.0,358.9,4,4
MOAPA_NG,ngcc,bus_30369,1210.0,0.0,363.0,3,3630.0,84700.0,1210.0,4,4
JEAN_NG,ngcc,bus_30369,688.4,16.006806834775997,206.52,3,2065.2,48188.0,688.4,4,4
VERNAL_C,coal,bus_30369,609.5,14.125464174800001,182.85,4,1828.5,42665.0,201.13500000000002,12,12
PROVO_NG,ngcc,bus_30369,28.5,9.359233674626001,8.549999999999999,3,85.5,1995.0,28.5,4,4
LOGAN_NG,ngcc,bus_30369,5.0,30.40456682756,1.5,3,15.0,350.0,5.0,4,4
MONA_NG,ngcc,bus_30369,649.0,15.506223971835999,194.7,3,1947.0,45430.0,649.0,4,4
WESTJORDAN_NG,ngcc,bus_30369,9.8,27.71342658254,2.94,3,29.400000000000002,686.0,9.8,4,4
SALTLAKECITY_NG,ngcc,bus_30369,788.9,23.4647841787364,236.67,3,2366.7,55223.0,788.9,4,4
CASTLEDALE_C,coal,bus_30369,1577.2,13.7316172729,473.16,4,4731.6,110404.0,520.476,12,12
HUNTINGTON_C,coal,bus_30369,1037.3,13.962763864700001,311.19,4,3111.8999999999996,72611.0,342.309,12,12
DELTA_C,coal,bus_30369,2480.0,12.521946503590001,744.0,4,7440.0,173600.0,818.4000000000001,12,12
