Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
GLENDALE_NG,30369,GAS,613.5,184.05,11.64789165
COCHISE_NG,30369,GAS,660.7,198.21,11.12427231
CHANDLER_NG,30369,GAS,1438.1,431.43,9.002443481666667
ARLINGTON_NG,30369,GAS,3236.5,970.95,7.160037986666667
GOLDENVALLEY_NG,30369,GAS,121.0,36.3,10.27634468
BUCKEYE_NG,30369,GAS,652.2,195.66,0.0
TUCSON_NG,30369,GAS,954.3,286.29,9.942209669
GLOBE_NG,30369,GAS,1678.0,503.4,0.0
SAINTJOHNS_C,30369,COAL,821.8,246.54,12.85144113
CASAGRANDE_NG,30369,GAS,646.1,193.83,7.810153152
LAKEHAVASUCITY_NG,30369,GAS,655.0,196.5,7.8119949
TEMPE_NG,30369,GAS,573.7,172.11,6.993516627
TONOPAH_NG,30369,GAS,1325.1,397.53,0.0
GILBERT_NG,30369,GAS,1326.0,397.8,6.088622409
MOHAVEVALLEY_NG,30369,GAS,708.0,212.4,7.649406007
SPRINGERVILLE_C,30369,COAL,2179.2,653.7599999999999,10.72308955
ORACLE_NG,30369,GAS,3.1,0.93,17.75
NOGALES_NG,30369,GAS,108.0,32.4,11.42928067
REDLANDS_NG,30369,GAS,3.5,1.05,8.3526900785
TRONA_C,30369,COAL,62.5,18.75,5.581006765
BIGBEARCITY_NG,30369,GAS,8.4,2.52,19.68830909
VICTORVILLE_NG,30369,GAS,852.0,255.6,7.54670111
SUNCITY_NG,30369,GAS,819.0,245.7,7.472121691
RIVERSIDE_NG,30369,GAS,236.0,70.8,12.16679714
BORON_NG,30369,GAS,220.8,66.24,0.907778971
HINKLEY_NG,30369,GAS,184.0,55.2,1.607805988
DESERTHOTSPRINGS_NG,30369,GAS,800.0,240.0,9.836418399
TRONA_NG,30369,GAS,20.0,6.0,0.0
COLSTRIP_C,30369,COAL,2363.4,709.02,11.10660053
HARDIN_C,30369,COAL,115.7,34.71,16.15812715
FARMINGTON_NG,30369,GAS,67.0,20.1,7.896959358
PREWITT_C,30369,COAL,257.0,77.1,10.61667098
FRUITLAND_C,30369,COAL,2269.6,680.88,10.56636749
WATERFLOW_NG,30369,GAS,292.6,87.78,0.0
WATERFLOW_C,30369,COAL,1848.0,554.4,12.17395744
BELEN_NG,30369,GAS,656.1,196.83,11.65703872
